Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age,Pass_ThreeMoney,Active_Days
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1,false,15
0xea41270189a83978c8fae70eccb84a8fe3dd3b59,8.101932833101363273,187,1,1,false,20
0xf4d12e92d21884c3f9f17bb92dfed9de18c257e1,4.518268962302755119,179,1,1,false,17
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1,false,19
0x8a0fbff80be75ca8f2357e832c2955f3a9c775d6,8.309967731941245048,167,1,1,false,14
0x5664137351c7bc9394a8da3db941560c1ebbe5eb,4.056278347264742143,197,1,1,false,13
0xee08aca226edc6cfc563d0241dc2d531f3ac5bf7,5.534603605761808686,154,1,1,false,15
0x33c36c09ec44163266da19542002f7afe4a4dc99,9.947040040116470975,193,1,1,false,13
0x3217dc9f0c5ff1d1332b6bfa241d00938ea00e11,4.171235367381964681,196,1,1,false,12
0xf9a6c444d9e516a434c2b1dd685f443bba7d2e19,3.412901363705582493,169,1,1,false,19
0xfef1981c7ec5845d73ddbe0a589f796d0dedf3bd,4.345331692926372718,188,1,1,false,17
0x472d5a13069a13bb884b33297cc5f871f5a3d192,6.497636690460886084,189,1,1,false,22
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1,false,18
0x8718b31a70b9a5303522ca107260859a5845ad3b,8.013203060312129962,175,1,1,false,16
0x96e3d0eb679bc6bc1e18f19fad0c1874ae6e495f,9.647188331313159735,178,1,1,false,18
0x7db3e209558e40d85ed6180d54458d9a714fa18a,6.453218036998142408,159,1,1,false,13
0xb2567e648cfc9cea1a892318820056bac1772cf2,3.605787909348556206,182,1,1,false,23
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1,false,16
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1,false,17
0x9928fcf89b8a400667fc1d3636c66212fa26e598,6.780622225980091679,199,1,1,false,17
0x9359d61815bac951e14c615024d390ba570756a6,6.503660834208423069,176,1,1,false,17
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1,false,22
0xa7c9739298ef419fa21cd20fef8ef29a1a4c30f1,2.902499555677959091,167,1,1,false,18
0x8ee713a16491e59327f6fb05376822ab565a653b,4.619694053407142684,194,1,1,false,16
0xab4c9053bf1329976748bac4e72e33d96e7e0d30,7.38343823203365644,177,1,1,false,20
0xb7104f5e8ebfc4ea5f9a7ad211655b3870e7b461,4.804530002289137147,169,1,1,false,21
0x7906522e625f9312b460d5bc3f83474b4a275db5,4.157520534599434358,191,1,1,false,15
0xb6427efc593a44bbb612e1ed903522d63256d491,2.806966943031397774,178,1,1,false,13
0x122f61e45cbf6b2a33b92e8f409e36a491e78b78,3.220637994455807037,193,1,1,false,15
0x8b6610c5239d27abcb48f30def592199fcde66cc,8.319556141548546509,197,2,1,false,18
0xfbb165c56571731111136b4bec1beb9569130ca2,7.751535657805162385,188,1,1,false,23
0x561447cd3bcc6398aaa8012039f0ba8d3d619a57,6.351869171341918894,192,1,1,false,16
0x3e1d4ea939bdfe26c6e054d72f67ff120de7bb7c,8.777943211666663175,183,1,1,false,18
0xfbb860c1f4e37463925b8c4cf54cacc2495d1f87,5.018145659621385523,172,1,1,false,17
0x5f33bc84f59b9b73f3b67e1da277fe9269620b2c,8.966214974819840689,177,1,1,false,16
0x3adc614522e1bc48f1729b49d043e2a62a89fe66,6.359223139986112621,173,1,1,false,20
0xf87425810a89e598055884c1a76c13e05f78f3ed,9.191775786785493696,158,1,1,false,20
0x9736a24ec415263fe82f196e94577250ea584272,3.75605195154644304,189,1,1,false,16
0x006b9b8c1dbe3598a6696c27e8cea173d4bb47ce,5.196775841835561044,161,1,1,false,21
0x901576ac8a5246a9e13f6f9d79870543eac9fae6,8.114435409519129367,162,1,1,false,15
